 1772 1  1
cluster file from TAD2; meaning encoded in file name                            
         42.24000000         42.24000000         80.00000000
(3f12.6,i2)                                                                     
   35.200827   26.398133    9.571718 1
   35.204046   29.911036    9.570892 1
   35.203772   33.437459    9.572847 1
   35.197407   36.967534    9.570609 1
   35.198082   40.481611    9.569147 1
   36.954552   -0.003920    9.571052 1
   36.954473    3.527290    9.571549 1
   36.959447    7.042124    9.570109 1
   36.961650   10.554095    9.570462 1
   36.951064   14.071023    9.572435 1
   36.945335   17.600085    9.576685 1
   36.953357   21.111472    9.508685 1
   36.965047   24.652397    9.579227 1
   36.960063   28.153560    9.569952 1
   36.955193   31.672737    9.571390 1
   36.939566   35.205562    9.571408 1
   36.951971   38.725954    9.570715 1
   38.698932    1.761360    9.572356 1
   38.714026    5.286001    9.571612 1
   38.719936    8.797340    9.570455 1
   38.714865   12.315093    9.573201 1
   38.696049   15.833065    9.569425 1
   38.714367   19.354871    9.528633 1
   38.740635   22.881578    9.579347 1
   38.724180   26.401503    9.572305 1
   38.712653   29.912922    9.571443 1
   38.712328   33.426057    9.574235 1
   38.717542   36.984700    9.572300 1
   38.714079   40.476113    9.571194 1
   40.479895   -0.019520    9.572876 1
   40.479097    3.542585    9.572858 1
   40.478528    7.039449    9.570358 1
   40.476066   10.556426    9.571410 1
   40.477642   14.067610    9.586055 1
   40.501639   17.621618    9.551929 1
   40.480100   21.110276    9.597768 1
   40.486652   24.646349    9.575543 1
   40.474189   28.158227    9.571937 1
   40.461341   31.673735    9.574040 1
   40.491953   35.205944    9.573078 1
   40.484600   38.726966    9.571109 1
    0.000436    0.000154    7.810706 1
    0.000472    3.524062    7.810638 1
   -0.000508    7.042096    7.807921 1
   -0.002507   10.557959    7.808755 1
   -0.005369   14.076304    7.811721 1
    0.008963   17.599785    7.804108 1
    0.002176   21.121000    7.815291 1
   -0.001255   24.641059    7.810324 1
   -0.002558   28.157183    7.804587 1
   -0.002608   31.678682    7.833460 1
    0.000611   35.204299    7.803304 1
    0.000634   38.720064    7.806560 1
    1.761812    1.762073    7.805557 1
    1.758948    5.284041    7.807156 1
    1.758256    8.800610    7.807813 1
    1.757287   12.316415    7.811239 1
    1.760015   15.837336    7.810388 1
    1.760184   19.361325    7.813254 1
    1.753479   22.879471    7.812907 1
    1.753935   26.401699    7.805549 1
    1.757544   29.919327    7.808518 1
    1.756991   33.440415    7.809236 1
